hours,kW
0,112.379411
1,115.991103
2,115.990834
3,118.376261
4,120.261161
5,120.572462
6,119.653506
7,118.488685
8,287.792043
9,286.582356
10,286.975379
11,283.573287
12,287.037097
13,286.490306
14,286.56631
15,286.950156
16,153.885944
17,126.630695
18,125.736581
19,120.863583
20,120.863861
21,120.86359
22,118.284306
23,114.958284
24,140.685356
25,140.685085
26,140.685508
27,143.070672
28,244.477316
29,244.789772
30,400.891316
31,8245.928235
32,6519.23646
33,5744.380799
34,5306.416483
35,4761.333091
36,4340.127685
37,3616.247515
38,3647.303999
39,3425.471306
40,3796.759776
41,4184.118593
42,581.206967
43,585.225229
44,441.76106
45,348.114206
46,148.770595
47,140.685434
48,140.685146
49,140.685556
50,140.685278
51,143.070018
52,244.478234
53,244.789532
54,400.89177
55,9218.849025
56,6616.625228
57,6120.20569
58,6465.184946
59,6248.993641
60,6404.167165
61,6239.274637
62,6280.326606
63,6436.377869
64,6942.34479
65,7467.795779
66,582.5331
67,585.22511
68,441.760926
69,346.391726
70,150.431104
71,140.685356
72,140.68507
73,140.685481
74,140.685204
75,143.070401
76,244.478161
77,244.78946
78,400.891697
79,11826.37779
80,10516.665009
81,9836.369199
82,9828.336834
83,9666.481078
84,9680.443302
85,9575.738535
86,8305.772046
87,8615.653672
88,8817.137634
89,8944.52453
90,582.871564
91,585.225081
92,441.760892
93,346.391714
94,150.431068
95,140.685322
96,140.684716
97,140.685448
98,140.685171
99,143.071026
100,244.478129
101,244.789427
102,400.891665
103,15826.019125
104,11774.603415
105,10896.582539
106,9253.656775
107,8119.493971
108,8067.554248
109,9022.341117
110,8569.842665
111,8922.793
112,10196.276332
113,10739.687269
114,583.049884
115,585.225066
116,441.760874
117,346.391708
118,150.43105
119,140.685304
120,140.684575
121,140.68543
122,140.685154
123,143.071009
124,244.478112
125,244.78941
126,400.891648
127,20636.095744
128,17199.297756
129,14763.865556
130,13033.854459
131,11892.924077
132,11288.758561
133,10875.094504
134,10832.514019
135,11090.982609
136,11749.143678
137,12130.076007
138,583.145716
139,585.225058
140,441.760864
141,346.391705
142,150.431039
143,140.685294
144,140.68454
145,140.685421
146,140.685145
147,143.071
148,145.642163
149,145.953332
150,161.890332
151,395.016832
152,426.137107
153,570.154467
154,562.860213
155,563.917802
156,493.284315
157,488.179143
158,492.191797
159,438.957849
160,442.883233
161,317.25091
162,249.953856
163,249.95382
164,151.117461
165,150.430421
166,150.430911
167,150.430639
168,115.990923
169,115.990988
170,115.990717
171,114.764699
172,120.261312
173,120.572612
174,136.508423
175,135.345691
176,304.64907
177,303.438995
178,303.832033
179,304.041611
180,303.893942
181,303.34676
182,303.423124
183,300.193688
184,170.742704
185,126.630812
186,125.736237
187,120.863943
188,120.863528
189,120.863951
190,120.86368
191,115.990561
192,140.685445
193,140.685175
194,137.33229
195,142.812221
196,244.478137
197,244.789438
198,400.891675
199,17027.760924
200,12223.480371
201,10295.538914
202,9182.292923
203,9060.875101
204,7744.849085
205,7242.845522
206,8268.763091
207,8643.222941
208,9570.507483
209,10150.446426
210,580.852543
211,585.224478
212,441.760292
213,350.142015
214,150.431004
215,140.685281
216,140.634363
217,137.124374
218,140.685444
219,143.070601
220,244.477971
221,244.789712
222,400.891256
223,17942.066771
224,14180.88203
225,12224.382012
226,11018.229478
227,10150.540708
228,9473.730301
229,9244.980508
230,9508.102043
231,9510.797242
232,9690.917945
233,9927.780836
234,580.852112
235,585.225721
236,441.759788
237,350.140994
238,150.430684
239,138.513812
240,139.244564
241,140.685373
242,140.685102
243,143.07096
244,244.478065
245,244.788915
246,400.891603
247,16751.699971
248,12341.348828
249,11035.1307
250,10245.748821
251,9330.080104
252,8683.280508
253,8032.131618
254,7846.265843
255,7935.937234
256,8329.599419
257,8783.092394
258,580.851755
259,585.225516
260,441.760507
261,350.141958
262,146.946757
263,140.557953
264,140.685345
265,140.685067
266,140.685485
267,143.070645
268,244.477543
269,244.789742
270,400.891285
271,11934.647492
272,10463.249114
273,9507.737181
274,8941.481279
275,8387.525153
276,8254.92941
277,7672.251319
278,6533.025519
279,6654.9427
280,8042.75707
281,8934.502688
282,581.391525
283,585.225212
284,441.761041
285,347.854949
286,149.020357
287,140.685425
288,140.685137
289,140.685546
290,140.685268
291,143.069969
292,244.478225
293,244.789523
294,400.89176
295,16380.148435
296,10865.17464
297,8465.516762
298,6551.66455
299,5297.161373
300,5767.541519
301,6695.77191
302,6697.702946
303,6627.044679
304,7549.089432
305,8290.878266
306,582.577051
307,585.225106
308,441.760922
309,346.391725
310,150.4311
311,140.685352
312,140.685066
313,140.685477
314,140.6852
315,143.070478
316,145.642217
317,145.953516
318,161.890387
319,395.016886
320,426.137185
321,570.155456
322,563.263092
323,563.514925
324,493.284279
325,488.179329
326,492.191757
327,438.95768
328,442.883513
329,317.251292
330,249.953916
331,249.953163
332,151.117518
333,150.430545
334,150.430966
335,150.430694
336,115.99019
337,115.991043
338,115.990772
339,114.764699
340,120.261367
341,120.572666
342,136.508476
343,135.345746
344,304.649125
345,303.438023
346,303.832088
347,304.041665
348,303.893733
349,303.346814
350,303.423178
351,300.193688
352,170.742759
353,126.630866
354,125.736761
355,120.863997
356,120.863582
357,120.863309
358,120.863734
359,115.990734
360,115.991157
361,115.990886
362,114.092318
363,116.662658
364,120.26121
365,120.57251
366,119.653554
367,118.488733
368,287.792161
369,286.582403
370,286.975426
371,287.185268
372,287.036876
373,286.490085
374,282.955258
375,286.950203
376,153.885991
377,126.629803
378,125.736628
379,120.86363
380,120.863909
381,120.863638
382,120.8629
383,115.991061
384,140.685133
385,137.073754
386,140.685556
387,143.070711
388,244.477633
389,244.78982
390,400.891363
391,13495.109052
392,11685.386294
393,10630.924212
394,11020.967813
395,10666.65583
396,9224.650642
397,8100.200666
398,7849.538423
399,7871.845843
400,8001.736417
401,8388.635032
402,580.852215
403,585.225115
404,441.759976
405,350.141329
406,150.430765
407,140.685036
408,137.073754
409,140.685459
410,140.685189
411,143.070449
412,244.478153
413,244.789453
414,400.891691
415,16453.167763
416,12142.896615
417,11279.735905
418,10275.372646
419,9372.559682
420,9108.730211
421,9643.764494
