hours,kW
0,670.839724
1,675.664181
2,675.665324
3,670.840015
4,675.664951
5,675.66591
6,675.860003
7,681.085886
8,676.666367
9,675.125952
10,671.378153
11,675.664356
12,675.665241
13,670.839974
14,675.664868
15,675.665828
16,670.838089
17,675.665457
18,675.8562
19,675.858754
20,675.858698
21,675.665023
22,670.838803
23,675.66614
24,675.665288
25,673.729206
26,672.774487
27,675.665319
28,675.665026
29,715.667417
30,720.68533
31,14254.733616
32,7336.426121
33,6313.009391
34,5588.228827
35,5066.444924
36,7065.83258
37,4261.167309
38,4161.356166
39,3999.059573
40,3937.734086
41,5736.100642
42,899.997493
43,899.997249
44,810.342121
45,805.321254
46,720.492742
47,675.666149
48,670.83862
49,675.665779
50,675.664593
51,671.36673
52,675.137926
53,720.493062
54,720.689185
55,12676.517025
56,4965.237566
57,4659.507234
58,4458.693511
59,4331.178637
60,9918.680814
61,3971.297958
62,3981.55628
63,4012.647209
64,4154.541208
65,11231.688995
66,899.994948
67,899.997787
68,810.342675
69,810.147221
70,720.492726
71,670.839941
72,675.664803
73,675.665763
74,670.838113
75,675.665391
76,675.665844
77,715.66627
78,720.686662
79,20985.2766
80,9405.588624
81,8452.608364
82,7725.518087
83,7257.248328
84,14525.25635
85,6276.82988
86,6099.190628
87,6078.878792
88,6022.324622
89,13846.957063
90,899.998619
91,899.998256
92,810.34311
93,805.321468
94,720.493721
95,675.665319
96,673.93224
97,672.571467
98,675.665133
99,675.665057
100,670.839883
101,720.49208
102,720.688352
103,26007.220389
104,11410.08793
105,10278.73
106,8776.582441
107,7813.97008
108,16440.845512
109,6590.848934
110,6648.771446
111,6746.440594
112,7238.203211
113,18107.041754
114,899.99579
115,899.998739
116,810.343644
117,810.147839
118,720.493696
119,670.838618
120,675.665776
121,675.664594
122,671.346347
123,675.158327
124,675.665509
125,719.999849
126,720.778372
127,32855.719663
128,21372.099661
129,16747.504449
130,14298.941195
131,12530.054863
132,22490.31566
133,9131.27766
134,9352.104664
135,9093.996115
136,9268.957205
137,20892.254334
138,900.000142
139,899.999861
140,810.344725
141,810.148157
142,715.666415
143,675.665134
144,675.666091
145,670.838591
146,675.665722
147,675.664627
148,670.989448
149,675.515556
150,675.856891
151,681.719926
152,676.061874
153,675.664998
154,675.665956
155,670.838241
156,675.665586
157,675.664916
158,670.838818
159,675.66617
160,675.665319
161,673.931534
162,675.944046
163,676.046414
164,676.044543
165,672.11895
166,675.664775
167,675.665127
168,670.839917
169,675.664754
170,675.665714
171,670.838175
172,675.665343
173,675.666168
174,675.860601
175,681.719798
176,676.063239
177,675.664993
178,670.839851
179,675.664329
180,675.665581
181,670.838541
182,675.665209
183,675.666165
184,670.838628
185,675.665795
186,675.856462
187,675.859081
188,675.859037
189,675.664679
190,672.097585
191,674.40655
192,675.665624
193,675.664775
194,670.839744
195,675.664135
196,675.665364
197,715.66729
198,720.68567
199,29934.547979
200,16293.676161
201,13109.264444
202,11380.532123
203,10377.57103
204,17486.773695
205,7637.209771
206,7967.171649
207,7688.605317
208,7718.009424
209,17664.065631
210,899.997902
211,899.997583
212,810.342444
213,805.320771
214,720.493061
215,675.6652
216,670.838781
217,675.666096
218,675.665244
219,673.445852
220,673.057845
221,720.493154
222,720.689506
223,31584.329787
224,17270.541582
225,14168.350054
226,12276.952222
227,10891.111701
228,18345.349281
229,8559.324013
230,8727.404094
231,8279.428772
232,8081.699726
233,17056.171261
234,899.995187
235,899.99809
236,810.342988
237,810.146807
238,720.49304
239,670.838951
240,675.665118
241,675.666075
242,670.838582
243,675.665705
244,675.664647
245,715.708133
246,720.767414
247,28297.137901
248,13454.798499
249,11771.556045
250,10672.254948
251,9459.892219
252,14095.696952
253,7357.913049
254,6996.51687
255,6627.412007
256,6507.099879
257,13560.360202
258,899.998889
259,899.998557
260,810.343414
261,806.576623
262,719.237713
263,675.665624
264,675.664774
265,670.839743
266,675.664136
267,675.665363
268,670.839744
269,720.49254
270,720.685022
271,22611.852716
272,11149.937143
273,9746.829497
274,8747.603082
275,8024.844513
276,15142.240119
277,6656.206162
278,6216.910271
279,5872.913153
280,5996.194844
281,13615.59693
282,899.996118
283,899.999047
284,810.34395
285,810.148146
286,720.492819
287,670.838773
288,675.666081
289,675.665229
290,673.346451
291,673.157256
292,675.665711
293,720.492517
294,720.686607
295,26303.251121
296,10861.32449
297,9232.824973
298,8246.136043
299,7219.437863
300,14131.419935
301,6083.882861
302,5979.726613
303,5725.16096
304,5746.554593
305,13986.469249
306,899.997603
307,899.997472
308,810.342018
309,810.148445
310,715.665643
311,675.665425
312,675.665643
313,670.838737
314,675.66601
315,675.664989
316,672.878156
317,673.625642
318,675.857118
319,681.718824
320,676.062056
321,675.665289
322,675.666245
323,670.838669
324,675.665875
325,675.664655
326,671.994966
327,674.509229
328,675.665609
329,675.664759
330,675.85883
331,675.85875
332,675.858745
333,670.839781
334,675.664118
335,675.66544
336,670.839236
337,675.665067
338,675.666025
339,670.83843
340,675.665655
341,675.664733
342,675.860918
343,681.723302
344,676.063589
345,675.665297
346,670.840001
347,675.664924
348,675.665883
349,670.838122
350,675.665512
351,675.665196
352,670.838781
353,675.666097
354,675.856686
355,675.859373
356,675.859339
357,675.665338
358,674.057421
359,672.446303
360,675.665026
361,675.665077
362,670.839892
363,675.664603
364,675.665664
365,670.838279
366,675.858424
367,681.718294
368,677.673476
369,674.117158
370,675.665669
371,675.664819
372,670.839766
373,675.664114
374,675.665408
375,670.839434
376,675.665035
377,675.665993
378,675.860407
379,675.860044
380,675.859999
381,670.838587
382,675.665714
383,675.664635
384,670.942131
385,675.56292
386,675.665447
387,674.768099
388,671.735831
389,720.492083
390,720.68971
391,27289.377712
392,16655.381939
393,13807.464518
394,12200.234077
395,10934.620357
396,16795.968395
397,8642.182325
398,8363.316043
399,7892.319157
400,7570.932359
401,14965.80023
402,899.995356
403,899.998286
404,810.343189
405,810.147366
406,720.493241
407,670.838218
408,675.66532
409,675.666275
410,670.838684
411,675.665905
412,675.664705
413,717.021661
414,720.767963
415,27679.024733
416,12513.896555
417,11431.629357
418,10001.201754
419,8996.816378
420,17839.684443
421,7523.447153
422,7792.868364
423,8119.918191
424,8329.522144
425,19823.022937
426,899.999255
427,899.998952
428,810.343813
429,809.184099
430,716.630003
431,675.664571
432,675.665176
433,670.839941
434,675.664803
435,675.665763
436,670.838113
437,720.492942
438,720.683685
439,32298.116543
440,20650.543024
441,16275.973346
442,13936.404
443,12190.561119
444,21672.734303
445,8802.979229
446,8908.583873
447,8631.664831
448,8753.820985
449,20385.299366
450,899.996569
451,899.999458
452,810.344357
453,810.148554
454,720.492252
455,672.185354
456,674.318731
457,675.665638
458,675.664788
459,670.83975
460,675.664126
461,720.492927
462,720.687092
463,31435.781804
464,18294.962923
465,14314.451884
466,12310.834782
467,10923.439762
468,19691.844249
469,7790.850141
470,7795.158671
471,7919.076824
472,7847.677662
473,17886.237104
474,899.994711
475,899.995744
476,810.340494
477,810.148758
478,715.666149
479,675.665738
480,675.664612
481,671.096901
482,675.407999
483,675.665471
484,674.922862
485,671.581137
486,675.85739
487,681.719051
488,676.062254
489,675.6656
490,675.664872
491,670.838826
492,675.666185
493,675.665333
494,674.024497
495,672.479222
496,675.665054
497,675.665072
498,675.859229
499,675.859078
500,675.859062
501,670.839935
502,675.66479
503,675.66575
504,670.838126
505,675.665379
506,675.665924
507,670.838714
508,675.665964
509,675.664844
510,675.861232
511,681.727252
512,676.063937
513,675.6656
514,670.838471
515,675.665228
516,675.666184
517,670.838638
518,675.665814
519,675.664598
520,671.595639
521,674.908832
522,675.85691
523,675.859663
524,675.859639
525,675.665637
526,675.664788
527,670.83975
528,675.664126
529,675.665377
530,670.839646
531,675.665004
532,675.665962
533,715.665805
534,720.686275
535,32499.304526
536,24648.079091
537,20786.893089
538,16672.421065
539,14512.330104
540,20847.258274
541,10630.182662
542,10922.469737
543,10260.017637
544,9651.714768
545,17158.431765
546,899.998379
547,899.997999
548,810.342851
549,805.321338
550,720.493464
551,675.664722
552,672.252634
553,674.251416
554,675.665648
555,675.664799
556,670.839755
557,720.49167
558,720.689912
559,31394.572293
560,15593.187661
561,13723.333823
562,12085.341282
563,10709.453212
564,18719.999436
565,7905.052321
566,7969.993803
567,7594.336465
568,7626.046844
569,18016.362647
570,899.995537
571,899.998483
572,810.343387
573,810.147581
574,720.49344
575,670.838129
576,675.665519
577,675.665167
578,670.838785
579,675.666104
580,675.665252
581,718.323033
582,720.770917
583,31276.766972
584,17251.197207
585,14679.312765
586,13188.501646
587,12130.16593
588,21171.200066
589,9946.813706
590,10345.383628
591,10055.81218
592,9947.143825
593,20778.378928
594,899.999634
595,899.999346
596,810.344209
597,810.147637
598,715.667398
599,675.664315
600,675.665575
601,670.838562
602,675.665203
603,675.666159
604,670.838625
605,720.49334
606,720.684052
607,30943.409105
608,17391.240501
609,14551.799871
610,12834.059065
611,11123.149952
612,19742.287196
613,8917.9162
614,8679.028814
615,8205.715907
616,7980.281561
617,17691.191472
618,899.997026
619,899.999865
620,810.470863
621,810.025065
622,720.493
623,674.788582
624,671.715356
625,675.664521
626,675.665189
627,670.839948
628,675.664816
629,720.493326
630,720.687565
631,30245.186143
632,15231.739063
633,12619.408913
634,11117.642154
635,10705.342822
636,20120.576316
637,8385.778909
638,9404.799557
639,9285.370146
640,9490.723746
641,22369.858877
642,899.99383
643,899.996058
644,810.341036
645,810.148115
646,715.666303
647,675.666042
648,675.665112
649,673.088676
650,673.415072
651,675.665776
652,675.664927
653,670.839819
654,675.857681
655,681.719281
656,676.062449
657,675.665902
658,675.664699
659,672.174035
660,674.330056
661,675.665636
662,675.664787
663,670.839749
664,675.664127
665,675.665376
666,675.859618
667,675.859397
668,675.859372
669,670.839076
670,675.665094
671,675.666052
672,670.838525
673,675.665682
674,675.664681
675,670.838867
676,675.666266
677,675.665415
678,675.861537
679,681.731397
680,676.064278
681,675.665893
682,670.838133
683,675.665523
684,675.665152
685,670.838786
686,675.666107
687,675.665255
688,673.517352
689,672.986341
690,675.857128
691,675.859946
692,675.859932
693,675.665001
694,675.665081
695,670.839895
696,675.664622
697,675.665669
698,670.838267
699,675.665297
700,675.666253
701,715.666223
702,720.686568
703,35350.789375
704,31540.990511
705,27733.270562
706,26026.782309
707,24560.342895
708,30717.702729
709,20636.895062
710,18627.292873
711,17341.77818
712,16923.563668
713,28055.507538
714,899.998566
715,899.998194
716,810.343047
717,805.321437
718,720.493658
719,675.665256
720,673.525476
721,672.978217
722,675.66552
723,675.664995
724,670.839852
725,720.491884
726,720.689285
727,35318.845001
728,30085.792875
729,26398.861956
730,24773.851143
731,22672.969301
732,29776.669095
733,18177.036412
734,16899.29672
735,15797.549694
736,15005.671579
737,26165.568996
738,899.995726
739,899.998676
740,810.343582
741,810.147776
742,720.493633
743,670.838587
744,675.665713
745,675.664636
746,670.935676
747,675.569382
748,675.665446
749,719.589193
750,720.776164
751,33153.415597
752,26101.45586
753,23182.188343
754,19920.791772
755,17703.360494
756,27028.373823
757,13758.433906
758,13745.874971
759,13122.256231
760,12889.239007
761,25138.988481
762,900.000017
763,899.999735
764,810.344599
765,810.14803
766,715.667177
767,675.665007
768,675.665965
769,670.838261
770,675.665595
771,675.664889
772,670.838823
773,720.493729
774,720.684345
775,34118.75941
776,27760.630245
777,24823.544879
778,22507.46838
779,20223.216421
780,29201.666448
781,17399.650529
782,16522.050345
783,15544.827239
784,15245.833421
785,27114.610135
786,900.077909
787,900.178081
788,810.521252
789,807.455848
790,720.493065
791,675.664995
792,670.839852
793,675.664336
794,675.665583
795,670.83853
796,675.665211
797,720.493718
798,720.688011
799,35546.668388
800,29881.470386
801,26079.955263
802,24539.286875
803,21253.22035
804,29673.639841
805,17323.803181
806,16105.497982
807,15275.676425
808,15002.395681
809,27016.03612
810,899.994117
811,899.996708
812,810.341559
813,810.147247
814,716.097602
815,675.234688
816,675.665497
817,675.096008
818,671.408081
819,675.664369
820,675.665237
821,670.839971
822,675.857992
823,681.719531
824,676.062648
825,675.666207
826,675.665355
827,674.170683
828,672.333061
829,675.664935
830,675.665094
831,670.839901
832,675.664674
833,675.665682
834,675.860009
835,675.859718
836,675.859683
837,670.838105
838,675.665402
839,675.66578
840,670.838725
841,675.665987
842,675.664912
843,672.728468
844,673.775378
845,675.665721
846,675.861845
847,681.733135
848,676.064136
849,675.666193
850,670.838642
851,675.665823
852,675.664603
853,671.656424
854,674.848001
855,675.665557
856,675.482366
857,671.021961
858,675.857352
859,675.860235
860,675.86023
861,675.664123
862,675.665381
863,670.839615
864,675.665008
865,675.665967
866,670.838265
867,675.665596
868,675.664884
869,715.666373
870,720.686867
871,33263.916255
872,28016.017036
873,24079.837088
874,19041.567499
875,15895.446746
876,23002.673886
877,13107.069526
878,12211.78826
879,11170.706735
880,10518.239622
881,17619.560289
882,899.99878
883,899.998436
884,810.343292
885,805.777206
886,720.037713
887,675.665501
888,675.12051
889,671.383592
890,675.664358
891,675.66524
892,670.839973
893,720.492417
894,720.686118
895,25360.816694
896,14491.07879
897,12448.523409
898,11009.902882
899,9940.048073
900,15369.949506
901,8108.125674
902,7971.435581
903,7677.426467
904,7356.461789
905,14093.708988
906,899.995983
907,899.998923
908,810.343828
909,810.148023
910,720.493511
911,670.838711
912,675.665959
913,675.664828
914,672.543509
915,673.960406
916,675.665693
917,720.492393
918,720.686461
919,19913.230549
920,10394.88665
921,9088.534489
922,8067.328742
923,7100.053451
924,10366.935932
925,5372.456769
926,5300.608479
927,5207.485211
928,5245.342543
929,11831.806358
930,899.998871
931,899.998402
932,810.342894
933,810.148351
934,715.665748
935,675.66533
936,675.666263
937,670.838689
938,675.665915
939,675.664724
940,672.259666
941,719.07193
942,720.684591
943,24804.073976
944,10737.613014
945,9562.220809
946,8067.171229
947,7158.673295
948,11297.215268
949,5055.30903
950,4616.366107
951,4531.43725
952,4588.900386
953,10732.292622
954,900.089755
955,900.194704
956,810.513918
957,805.322376
958,720.491724
959,675.665329
960,670.840006
961,675.664955
962,675.665914
963,670.838162
964,675.665544
965,720.492617
966,720.688355
967,18347.838401
968,8426.447097
969,7045.031595
970,6080.804527
971,5432.33332
972,7259.907145
973,4453.076228
974,4392.635301
975,4292.081983
976,4289.830174
977,9582.304605
978,899.994356
979,899.997019
980,810.341881
981,810.147881
982,718.188275
983,673.14298
984,675.665695
985,675.664969
986,670.839839
987,675.664272
988,675.665557
989,670.838634
990,675.858316
991,681.718724
992,677.181833
993,674.589776
994,675.665596
995,675.664747
996,670.83973
997,675.664165
998,675.665336
999,670.83995
1000,675.664963
1001,675.665921
1002,675.86032
1003,675.85997
1004,675.859926
1005,670.83839
1006,675.665642
1007,675.66476
1008,670.838847
1009,675.666226
1010,675.665375
1011,674.297623
1012,672.20615
1013,675.664838
1014,675.862087
1015,681.733162
1016,676.063257
1017,675.665358
1018,670.838764
1019,675.666063
1020,675.665201
1021,673.226
1022,673.277723
1023,675.665797
1024,675.664948
1025,670.839829
1026,675.857545
1027,675.860467
1028,675.860467
1029,675.664443
1030,675.66562
1031,670.838404
1032,675.665248
1033,675.666204
1034,670.838648
1035,675.665834
1036,675.66461
1037,716.554232
1038,720.76749
1039,31173.824749
1040,19725.422024
1041,15642.498114
1042,13371.055665
1043,11684.854851
1044,19083.048721
1045,9846.157813
1046,9424.662243
1047,8779.297563
1048,8297.772732
1049,15494.074795
1050,899.999123
1051,899.998811
1052,810.343671
1053,808.257574
1054,717.556321
1055,675.665275
1056,675.665033
1057,670.839871
1058,675.664447
1059,675.665621
1060,670.838401
1061,720.492799
1062,720.683768
1063,25439.225131
1064,12176.356385
1065,10968.286948
1066,9860.461057
1067,8969.589074
1068,15520.572382
1069,7409.114978
1070,7413.093025
1071,7186.639148
1072,7023.901667
1073,15011.182817
1074,899.996407
1075,899.999312
1076,810.344213
1077,810.148409
1078,720.492149
1079,671.234698
1080,675.270073
1081,675.665492
1082,675.060655
1083,671.443415
1084,675.664385
1085,720.492781
1086,720.686919
1087,28264.792449
1088,12864.638331
1089,11411.761582
1090,10236.741607
1091,9350.355533
1092,17176.821811
1093,7588.532586
1094,7772.944797
1095,7488.094145
1096,7332.281424
1097,16057.413737
1098,899.995509
1099,899.99612
1100,810.340794
1101,810.148647
1102,715.665894
1103,675.665627
1104,675.664798
1105,670.838839
1106,675.666211
1107,675.665359
1108,674.195869
1109,717.13543
1110,720.68484
1111,31601.778398
1112,15337.967265
1113,12600.920278
1114,10795.645291
1115,9564.094057
1116,17826.348634
1117,7113.347221
1118,7518.365883
1119,7481.542018
1120,7539.784335
1121,16999.814232
1122,899.996837
1123,899.996711
1124,810.341599
1125,805.32253
1126,720.492062
1127,675.66564
1128,670.838343
1129,675.665268
1130,675.666224
1131,670.838658
1132,675.665854
1133,720.492179
1134,720.68867
1135,29176.617426
1136,14645.767332
1137,12335.560479
1138,10757.692295
1139,9828.628777
1140,17068.783853
