hours,kW
0,453.030716
1,657.069083
2,700.146452
3,1159.272017
4,816.468247
5,820.000098
6,1317.949437
7,783.542894
8,670.297783
9,981.373859
10,609.219323
11,490.200818
12,552.222724
13,240.394467
14,131.173863
15,152.501672
16,230.386998
17,247.409047
18,299.67824
19,318.332225
20,269.181075
21,355.741391
22,292.836564
23,274.140748
24,339.078618
25,304.389678
26,303.065215
27,426.755859
28,384.661204
29,393.571027
30,715.427842
31,657.82193
32,422.340164
33,386.835559
34,376.733403
35,360.420672
36,380.895271
37,331.642747
38,318.479388
39,303.001978
40,332.774073
41,184.037637
42,139.076188
43,130.765578
44,110.853007
45,130.619364
46,127.084629
47,111.492432
48,140.597304
49,152.981533
50,175.895006
51,281.463999
52,388.764694
53,539.900268
54,707.027315
55,846.144902
56,657.739332
57,648.636036
58,763.735168
59,757.851699
60,896.787225
61,760.901763
62,764.828609
63,805.00093
64,948.279423
65,667.476529
66,671.483377
67,1000.217927
68,614.585243
69,771.119173
70,1240.928553
71,718.735682
72,844.695367
73,1375.081812
74,847.723956
75,925.255719
76,1449.940193
77,848.798135
78,1678.397526
79,1809.283505
80,1523.905168
81,1472.930714
82,1445.459652
83,1546.288024
84,1748.574853
85,1629.157237
86,1312.484558
87,1285.557237
88,1468.609205
89,991.259644
90,1169.471738
91,1830.925684
92,1275.010326
93,1415.212115
94,1965.290614
95,1334.122714
96,1463.425836
97,2024.842127
98,1454.791076
99,1656.931533
100,2360.312052
101,1795.549977
102,3050.315315
103,3269.323523
104,2884.79903
105,2709.371564
106,2351.446247
107,2001.306918
108,2231.526474
109,2230.493682
110,2098.826657
111,2194.970355
112,2748.631624
113,2360.863779
114,2636.003671
115,3795.528369
116,3097.062377
117,3491.883065
118,4459.113173
119,3489.655282
120,3755.179334
121,4733.510738
122,3810.097693
123,4112.573509
124,4969.092702
125,4018.216669
126,6463.966658
127,7079.656752
128,5411.54034
129,4773.544565
130,4309.282312
131,3896.6293
132,3980.788124
133,3379.109934
134,3184.894378
135,3256.761126
136,3663.790507
137,2976.080933
138,3036.08262
139,3874.599364
140,2910.743709
141,3132.292851
142,4110.877284
143,3120.472056
144,3309.820824
145,4235.899981
146,3233.653273
147,3401.084677
148,4282.409537
149,3261.346816
150,3474.614509
151,5633.356925
152,4397.372107
153,3458.469965
154,2922.357938
155,2547.944078
156,2253.106368
157,1940.853123
158,1774.68394
159,1803.417349
160,1543.303808
161,2154.493247
162,3076.551582
163,2230.526729
164,2298.601361
165,2864.284387
166,1959.523191
167,2075.649591
168,2724.712756
169,1928.676869
170,2069.385946
171,2737.588411
172,1955.393669
173,2091.521581
174,2770.576281
175,1877.099159
176,1904.525149
177,2398.760597
178,1330.343971
179,1150.394408
180,1197.937103
181,531.761745
182,602.054284
183,1040.89284
184,950.805065
185,1408.130246
186,2074.645736
187,1495.278281
188,1638.57303
189,2212.733269
190,1540.604781
191,1672.459367
192,2242.571992
193,1646.578646
194,1846.921847
195,2558.327799
196,1903.411161
197,2055.471157
198,3517.376406
199,3496.851163
200,2769.476068
201,2216.818188
202,2073.922962
203,2056.87678
204,2242.246049
205,1783.702407
206,1979.9702
207,2100.609355
208,2364.776674
209,2089.812593
210,2320.324025
211,3147.794746
212,2340.885571
213,2514.58841
214,3297.181534
215,2487.821296
216,2707.180867
217,3628.833282
218,2820.682122
219,3128.388419
220,4019.02384
221,3058.429641
222,4955.903147
223,4970.131094
224,4095.646014
225,3670.810802
226,3167.846492
227,2718.128837
228,2638.683964
229,2446.787585
230,2466.888623
231,2495.10862
232,2590.020671
233,2000.308632
234,2047.156968
235,2701.002207
236,1952.828807
237,2094.687588
238,2768.305384
239,1993.159932
240,2126.070163
241,2782.297834
242,2097.324512
243,2319.419083
244,3039.027282
245,2227.006588
246,3537.887436
247,3712.405494
248,3025.953597
249,2454.207664
250,1816.404173
251,1437.936158
252,1233.896
253,994.051129
254,960.772081
255,984.735245
256,1157.971539
257,895.583015
258,1052.012401
259,1499.775319
260,1142.647299
261,1260.045435
262,1774.189317
263,1232.366172
264,1292.638393
265,1866.592603
266,1346.197009
267,1459.88065
268,1880.423729
269,1205.830995
270,2006.139976
271,2120.37735
272,1783.957277
273,1664.153288
274,1525.196912
275,1475.480319
276,1732.663309
277,1525.176431
278,1170.704748
279,961.602327
280,1311.138541
281,1312.068258
282,1528.105156
283,2208.528905
284,1600.89221
285,1808.907382
286,2506.665278
287,1814.683835
288,1824.094279
289,2327.516938
290,1684.227118
291,1897.757441
292,2589.296372
293,1949.967365
294,3322.848883
295,3498.206626
296,2373.524052
297,1477.595419
298,980.904967
299,846.710606
300,1112.43646
301,1115.657132
302,1171.269331
303,1115.826512
304,1315.560022
305,1207.676119
306,1439.965687
307,2059.638255
308,1498.72679
309,1639.110276
310,2216.311273
311,1645.11712
312,1877.496588
313,2714.168745
314,2114.930739
315,2231.124382
316,2856.029683
317,2051.893254
318,2192.062177
319,3312.694936
320,2271.803686
321,1659.147043
322,1098.745961
323,722.596673
324,623.908832
325,645.482204
326,794.265826
327,1020.673631
328,754.201545
329,1124.275902
330,1744.39613
331,1393.139992
332,1729.695685
333,2522.503904
334,1992.113149
335,2384.152741
336,3431.70736
337,2671.094752
338,2859.849549
339,3798.62117
340,2875.745079
341,3052.355372
342,3919.339491
343,2770.814199
344,2430.386736
345,2529.785575
346,1463.788812
347,1395.801301
348,1651.910771
349,1028.082772
350,918.611654
351,1406.653468
352,1267.693545
353,1648.688803
354,2378.46832
355,1750.654688
356,1899.187319
357,2614.351829
358,1968.540358
359,2052.565609
360,2688.328822
361,1989.561508
362,2198.326939
363,2929.233601
364,2092.061661
365,2234.887005
366,2931.784202
367,2080.664917
368,2078.128976
369,2451.839005
370,1368.259069
371,1145.175157
372,1273.403667
373,682.320632
374,749.102002
375,1101.808603
376,918.79545
377,1391.513338
378,2181.630982
379,1558.847634
380,1580.735424
381,2107.48948
382,1506.85553
383,1638.603675
384,2198.031812
385,1534.316865
386,1659.541358
387,2223.839757
388,1553.629417
389,1681.468806
390,2835.913044
391,2599.635918
392,2139.372773
393,1960.818454
394,2118.476839
395,2021.875723
396,1856.400131
397,1406.702001
398,1322.230358
399,1339.367699
400,1487.171599
401,1124.950509
402,1251.727004
403,1779.923593
404,1271.700701
405,1400.547672
406,1906.534091
407,1401.729331
408,1653.043772
409,2313.931876
410,1680.981086
411,1826.854345
412,2509.749193
413,2070.735084
414,3609.908996
415,3846.520447
416,3274.351187
417,3125.127306
418,2961.324773
419,2801.249194
420,2893.914656
421,2805.889264
422,2826.993789
423,3038.033592
424,3457.489416
425,2883.245149
426,3094.321788
427,4015.675297
428,3169.063471
429,3410.51927
430,4287.509662
431,3291.495027
432,3517.733265
433,4456.421541
434,3469.984928
435,3713.077711
436,4577.839615
437,3562.446963
438,5799.205892
439,6426.69908
440,5369.160733
441,4631.589438
442,4044.526162
443,3744.890708
444,3594.201155
445,3037.233205
446,2769.355096
447,2795.662632
448,3150.913292
449,2816.83122
450,3168.944192
451,4092.434562
452,3193.187472
453,3484.65248
454,4423.801802
455,3384.959027
456,3490.674249
457,4418.745863
458,3397.435216
459,3394.923024
460,4147.203926
461,3099.710354
462,4844.924563
463,5070.545942
464,4022.217804
465,3249.426387
466,2843.952073
467,2681.38826
468,2763.178545
469,2185.533383
470,1884.564583
471,2343.172657
472,2777.917652
473,2218.375763
474,2409.087605
475,3232.710581
476,2520.649831
