hours,kW
0,219.415919
1,220.407292
2,220.407527
3,219.415979
4,220.407451
5,220.407648
6,220.447532
7,221.521393
8,220.61323
9,220.296692
10,219.526561
11,220.407328
12,220.40751
13,219.415971
14,220.407433
15,220.407631
16,219.415583
17,220.407554
18,220.44675
19,220.447275
20,220.447263
21,220.407465
22,219.41573
23,220.407695
24,220.40752
25,220.009676
26,219.813492
27,220.407526
28,220.407466
29,230.717902
30,231.749028
31,2529.895654
32,1359.594387
33,1205.089133
34,1117.049434
35,1090.487092
36,1496.830584
37,1048.801391
38,1038.252575
39,1018.082916
40,1009.215269
41,1237.929009
42,276.957246
43,276.957196
44,254.353283
45,253.32155
46,231.709454
47,220.407697
48,219.415693
49,220.407621
50,220.407377
51,219.524213
52,220.299153
53,231.709519
54,231.749821
55,2363.170653
56,1042.408079
57,1035.336733
58,1039.199005
59,1041.052509
60,2207.351352
61,1005.529572
62,1009.117479
63,1016.458978
64,1030.801048
65,2289.848651
66,276.956723
67,276.957307
68,254.353397
69,254.313233
70,231.70945
71,219.415964
72,220.40742
73,220.407617
74,219.415588
75,220.407541
76,220.407634
77,230.717667
78,231.749302
79,3845.775098
80,1644.546746
81,1499.446337
82,1399.045339
83,1337.872563
84,2975.696098
85,1202.057405
86,1183.193977
87,1178.534986
88,1171.082197
89,2808.0568
90,276.957478
91,276.957403
92,254.353486
93,253.321594
94,231.709655
95,220.407526
96,220.051398
97,219.771774
98,220.407488
99,220.407472
100,219.415952
101,231.709318
102,231.749649
103,4969.463649
104,2036.405702
105,1899.581762
106,1695.538756
107,1556.453191
108,3527.814644
109,1334.646284
110,1374.285557
111,1424.20012
112,1503.529343
113,3891.134146
114,276.956896
115,276.957502
116,254.353596
117,254.31336
118,231.70965
119,219.415692
120,220.40762
121,220.407377
122,219.520025
123,220.303345
124,220.407565
125,231.60817
126,231.768147
127,6932.141376
128,3991.377168
129,3250.144082
130,2885.906412
131,2565.003937
132,4879.011606
133,1889.519922
134,1940.563792
135,1882.884153
136,1890.698539
137,4486.41549
138,276.957791
139,276.957733
140,254.353818
141,254.313426
142,230.717697
143,220.407488
144,220.407685
145,219.415687
146,220.407609
147,220.407384
148,219.446686
149,220.376751
150,220.446892
151,221.651681
152,220.489014
153,220.40746
154,220.407657
155,219.415615
156,220.407581
157,220.407443
158,219.415733
159,220.407701
160,220.407526
161,220.051252
162,220.464802
163,220.485837
164,220.485452
165,219.678786
166,220.407414
167,220.407487
168,219.415959
169,220.40741
170,220.407607
171,219.415601
172,220.407531
173,220.407701
174,220.447654
175,221.651655
176,220.489294
177,220.407459
178,219.415945
179,220.407323
180,220.40758
181,219.415676
182,220.407503
183,220.4077
184,219.415694
185,220.407624
186,220.446804
187,220.447342
188,220.447333
189,220.407395
190,219.674396
191,220.148863
192,220.407589
193,220.407414
194,219.415923
195,220.407283
196,220.407535
197,230.717876
198,231.749098
199,6248.222533
200,3006.412104
201,2642.477432
202,2341.416901
203,2155.999552
204,3855.120815
205,1665.904959
206,1714.700916
207,1675.054215
208,1659.280499
209,3849.560101
210,276.95733
211,276.957265
212,254.353349
213,253.321451
214,231.709519
215,220.407502
216,219.415726
217,220.407686
218,220.407511
219,219.95145
220,219.871719
221,231.709538
222,231.749886
223,6629.758987
224,3172.489961
225,2796.47797
226,2448.686811
227,2166.769689
228,3901.42937
229,1677.818908
230,1719.329431
231,1634.16484
232,1604.341216
233,3597.724442
234,276.956772
235,276.957369
236,254.353461
237,254.313148
238,231.709515
239,219.415761
240,220.407485
241,220.407681
242,219.415685
243,220.407605
244,220.407388
245,230.726269
246,231.765896
247,5497.389748
248,2424.44851
249,2145.992217
250,1881.8263
251,1682.401166
252,2763.393264
253,1343.012081
254,1284.502562
255,1235.144685
256,1226.966122
257,2702.261541
258,276.957533
259,276.957465
260,254.353549
261,253.579515
262,231.451559
263,220.407589
264,220.407414
265,219.415923
266,220.407283
267,220.407535
268,219.415923
269,231.709412
270,231.748965
271,4176.768805
272,1905.359813
273,1702.843707
274,1567.695561
275,1469.988681
276,3086.855469
277,1285.085493
278,1237.7223
279,1195.361581
280,1206.564791
281,2860.672599
282,276.956964
283,276.957565
284,254.353659
285,254.313423
286,231.709469
287,219.415724
288,220.407683
289,220.407508
290,219.931024
291,219.892147
292,220.407607
293,231.709407
294,231.749291
295,5145.740657
296,2014.813819
297,1739.216821
298,1556.560212
299,1404.34644
300,2954.815961
301,1229.920583
302,1216.4375
303,1196.357347
304,1197.107543
305,2937.804925
306,276.957269
307,276.957242
308,254.353262
309,254.313485
310,230.717538
311,220.407548
312,220.407593
313,219.415717
314,220.407668
315,220.407458
316,219.834795
317,219.988395
318,220.446939
319,221.651455
320,220.489051
321,220.40752
322,220.407716
323,219.415703
324,220.40764
325,220.40739
326,219.653309
327,220.169962
328,220.407586
329,220.407411
330,220.44729
331,220.447274
332,220.447273
333,219.415931
334,220.407279
335,220.407551
336,219.415819
337,220.407474
338,220.407671
339,219.415653
340,220.407595
341,220.407406
342,220.44772
343,221.652375
344,220.489366
345,220.407522
346,219.415976
347,220.407445
348,220.407642
349,219.41559
350,220.407566
351,220.407501
352,219.415726
353,220.407686
354,220.44685
355,220.447402
356,220.447395
357,220.40753
358,220.077121
359,219.746054
360,220.407466
361,220.407476
362,219.415954
363,220.407379
364,220.407597
365,219.415622
366,220.447207
367,221.651346
